id	count
0	30810
1	26209
2	21436
3	19404
4	17163
5	9219
6	7171
7	4849
8	4813
9	4635
10	4545
11	4046
12	3477
13	3261
14	3175
15	3138
16	3087
17	2833
18	2739
19	2725
20	2604
21	2252
22	2184
23	2118
24	2117
25	2087
26	2064
27	2048
28	2020
29	1922
30	1897
31	1895
32	1799
33	1779
34	1765
35	1678
36	1633
37	1626
38	1615
39	1607
40	1592
41	1528
42	1497
43	1461
44	1452
45	1409
46	1367
47	1330
48	1324
49	1318
50	1308
51	1281
52	1280
53	1266
54	1257
55	1232
56	1224
57	1218
58	1207
59	1192
60	1184
61	1162
62	1158
63	1143
64	1140
65	1134
66	1117
67	1096
68	1091
69	1090
70	1082
71	1050
72	1033
73	1026
74	1006
75	981
76	969
77	961
78	950
79	949
80	945
81	941
82	930
83	913
84	911
85	909
86	908
87	905
88	899
89	884
90	876
91	874
92	872
93	865
94	852
95	839
96	837
97	823
98	812
99	807
100	803
101	795
102	782
103	777
104	774
105	773
106	762
107	759
108	758
109	752
110	749
111	746
112	743
113	742
114	742
115	735
116	734
117	733
118	726
119	726
120	724
121	713
122	707
123	706
124	704
125	703
126	701
127	688
128	685
129	683
130	683
131	679
132	678
133	674
134	673
135	669
136	668
137	667
138	667
139	665
140	664
141	664
142	661
143	661
144	659
145	652
146	652
147	643
148	643
149	638
150	635
151	629
152	625
153	624
154	623
155	619
156	615
157	614
158	604
159	592
160	591
161	590
162	589
163	587
164	585
165	585
166	584
167	584
168	572
169	570
170	570
171	566
172	565
173	561
174	560
175	559
176	557
177	554
178	551
179	551
180	549
181	549
182	544
183	541
184	540
185	539
186	526
187	525
188	525
189	524
190	514
191	513
192	512
193	511
194	505
195	500
196	499
197	498
198	477
199	475
200	474
201	470
202	469
203	469
204	467
205	463
206	460
207	451
208	449
209	449
210	449
211	448
212	446
213	443
214	441
215	435
216	434
217	433
218	432
219	432
220	429
221	427
222	426
223	422
224	421
225	418
226	416
227	416
228	415
229	414
230	409
231	409
232	408
233	408
234	406
235	405
236	404
237	403
238	402
239	401
240	400
241	399
242	399
243	398
244	398
245	398
246	397
247	396
248	392
249	392
250	391
251	388
252	387
253	382
254	382
255	382
256	381
257	379
258	378
259	377
260	375
261	374
262	373
263	371
264	370
265	368
266	368
267	366
268	365
269	365
270	365
271	364
272	363
273	362
274	361
275	360
276	359
277	358
278	358
279	357
280	357
281	356
282	354
283	353
284	353
285	352
286	352
287	350
288	350
289	348
290	345
291	345
292	344
293	343
294	343
295	342
296	341
297	340
298	340
299	340
300	338
301	335
302	335
303	334
304	333
305	333
306	333
307	332
308	331
309	330
310	328
311	327
312	326
313	323
314	323
315	320
316	320
317	319
318	316
319	315
320	313
321	311
322	310
323	310
324	310
325	310
326	309
327	306
328	306
329	305
330	303
331	302
332	301
333	300
334	299
335	299
336	297
337	297
338	297
339	297
340	296
341	294
342	294
343	292
344	292
345	292
346	292
347	291
348	289
349	289
350	288
351	287
352	287
353	287
354	287
355	287
356	287
357	286
358	285
359	285
360	285
361	285
362	285
363	284
364	283
365	282
366	282
367	281
368	280
369	280
370	280
371	279
372	278
373	277
374	275
375	274
376	273
377	273
378	273
379	272
380	271
381	270
382	270
383	269
384	269
385	267
386	266
387	265
388	264
389	264
390	263
391	261
392	260
393	257
394	257
395	256
396	255
397	253
398	253
399	253
400	253
401	253
402	252
403	251
404	250
405	250
406	249
407	249
408	248
409	248
410	247
411	247
412	246
413	245
414	245
415	243
416	243
417	242
418	242
419	242
420	242
421	242
422	242
423	241
424	241
425	239
426	238
427	238
428	237
429	237
430	237
431	234
432	233
433	233
434	233
435	232
436	232
437	232
438	231
439	230
440	230
441	230
442	230
443	230
444	229
445	229
446	229
447	228
448	227
449	227
450	226
451	226
452	226
453	225
454	225
455	225
456	225
457	225
458	224
459	224
460	224
461	223
462	222
463	221
464	220
465	220
466	220
467	220
468	220
469	220
470	219
471	217
472	216
473	216
474	216
475	214
476	214
477	213
478	213
479	213
480	213
481	212
482	212
483	212
484	212
485	211
486	211
487	211
488	210
489	210
490	210
491	210
492	209
493	209
494	209
495	208
496	208
497	208
498	207
499	207
500	207
501	207
502	207
503	206
504	206
505	206
506	206
507	205
508	205
509	205
510	204
511	204
512	203
513	203
514	202
515	202
516	200
517	199
518	198
519	198
520	197
521	197
522	196
523	195
524	195
525	195
526	194
527	194
528	194
529	194
530	193
531	193
532	193
533	192
534	192
535	192
536	191
537	191
538	191
539	191
540	189
541	189
542	189
543	189
544	189
545	188
546	188
547	187
548	187
549	187
550	187
551	186
552	186
553	185
554	185
555	184
556	184
557	184
558	182
559	182
560	182
561	182
562	182
563	181
564	181
565	181
566	180
567	180
568	180
569	179
570	179
571	179
572	179
573	178
574	178
575	178
576	177
577	177
578	177
579	177
580	177
581	177
582	177
583	177
584	176
585	176
586	176
587	176
588	176
589	175
590	175
591	175
592	173
593	173
594	173
595	172
596	172
597	172
598	172
599	172
600	171
601	171
602	171
603	171
604	170
605	170
606	170
607	169
608	169
609	169
610	169
611	169
612	169
613	169
614	168
615	168
616	167
617	167
618	166
619	166
620	165
621	165
622	164
623	164
624	163
625	163
626	163
627	163
628	162
629	162
630	162
631	161
632	161
633	161
634	161
635	161
636	161
637	160
638	160
639	160
640	159
641	159
642	159
643	159
644	159
645	159
646	158
647	158
648	157
649	157
650	157
651	157
652	156
653	156
654	156
655	155
656	155
657	155
658	155
659	154
660	154
661	154
662	154
663	153
664	153
665	153
666	153
667	153
668	153
669	152
670	152
671	152
672	151
673	151
674	151
675	151
676	150
677	150
678	150
679	150
680	150
681	150
682	149
683	149
684	148
685	148
686	148
687	147
688	147
689	147
690	147
691	147
692	147
693	146
694	146
695	145
696	145
697	145
698	145
699	144
700	144
701	144
702	144
703	144
704	144
705	143
706	142
707	142
708	142
709	141
710	141
711	140
712	140
713	140
714	139
715	139
716	139
717	139
718	139
719	139
720	138
721	138
722	137
723	137
724	137
725	137
726	137
727	137
728	137
729	136
730	136
731	136
732	136
733	135
734	135
735	135
736	135
737	134
738	134
739	134
740	134
741	134
742	134
743	134
744	134
745	133
746	133
747	133
748	133
749	133
750	133
751	133
752	132
753	132
754	132
755	132
756	132
757	132
758	132
759	131
760	131
761	131
762	131
763	131
764	130
765	130
766	130
767	130
768	130
769	130
770	130
771	130
772	129
773	129
774	129
775	129
776	129
777	128
778	128
779	128
780	127
781	127
782	127
783	127
784	126
785	126
786	126
787	126
788	126
789	126
790	126
791	125
792	125
793	124
794	124
795	124
796	124
797	123
798	123
799	123
800	123
801	123
802	123
803	123
804	122
805	122
806	122
807	122
808	122
809	122
810	122
811	122
812	122
813	121
814	121
815	121
816	121
817	121
818	120
819	120
820	119
821	119
822	119
823	119
824	119
825	119
826	119
827	119
828	119
829	119
830	118
831	118
832	118
833	118
834	118
835	117
836	117
837	117
838	117
839	116
840	116
841	116
842	115
843	115
844	114
845	114
846	114
847	114
848	113
849	113
850	113
851	113
852	113
853	113
854	113
855	112
856	112
857	112
858	112
859	112
860	112
861	112
862	111
863	111
864	111
865	111
866	111
867	111
868	111
869	110
870	110
871	110
872	110
873	110
874	110
875	110
876	109
877	109
878	109
879	109
880	109
881	109
882	109
883	109
884	109
885	108
886	108
887	108
888	108
889	108
890	107
891	107
892	107
893	107
894	107
895	107
896	107
897	107
898	107
899	106
900	106
901	106
902	106
903	106
904	106
905	105
906	105
907	105
908	105
909	105
910	105
911	105
912	105
913	105
914	105
915	105
916	105
917	104
918	104
919	104
920	104
921	104
922	103
923	103
924	103
925	103
926	103
927	103
928	103
929	103
930	103
931	102
932	102
933	102
934	102
935	102
936	101
